GCZ23,2023-08-15 16:35:03.829653,1932.9,0
GCG24,2023-08-15 16:35:03.829653,1952.6,29
USU23,2023-08-15 16:35:03.829653,120.09375,0
USZ23,2023-08-15 16:35:03.829653,120.3125,5
BTCQ23,2023-08-15 16:35:03.829653,29210,142
BTCU23,2023-08-15 16:35:03.829653,29495,0
NQU23,2023-08-15 16:35:03.829653,15123.75,0
NQZ23,2023-08-15 16:35:03.829653,15311.75,13
ESU23,2023-08-15 16:40:09.532156,4456.75,246
ESZ23,2023-08-15 16:40:09.532156,4504.75,64
ECU23,2023-08-15 16:40:09.532156,1.09205,0
ECZ23,2023-08-15 16:40:09.532156,1.09695,22
GCZ23,2023-08-15 16:40:09.532156,1932.9,0
GCG24,2023-08-15 16:40:09.532156,1952.6,29
USU23,2023-08-15 16:40:09.532156,120.125,0
USZ23,2023-08-15 16:40:09.532156,120.3125,5
BTCQ23,2023-08-15 16:40:09.532156,29215,148
BTCU23,2023-08-15 16:40:09.532156,29495,0
NQU23,2023-08-15 16:40:09.532156,15127,0
NQZ23,2023-08-15 16:40:09.532156,15317,14
ESU23,2023-08-15 16:45:05.046743,4456,246
ESZ23,2023-08-15 16:45:05.046743,4505,83
ECU23,2023-08-15 16:45:05.046743,1.0921,0
ECZ23,2023-08-15 16:45:05.046743,1.09695,22
GCZ23,2023-08-15 16:45:05.046743,1933,0
GCG24,2023-08-15 16:45:05.046743,1952.6,29
USU23,2023-08-15 16:45:05.046743,120.15625,0
USZ23,2023-08-15 16:45:05.046743,120.3125,5
BTCQ23,2023-08-15 16:45:05.046743,29225,157
BTCU23,2023-08-15 16:45:05.046743,29495,0
NQU23,2023-08-15 16:45:05.046743,15124,0
NQZ23,2023-08-15 16:45:05.046743,15311.5,16
ESU23,2023-08-15 16:50:05.520984,4456.25,246
ESZ23,2023-08-15 16:50:05.520984,4505,84
ECU23,2023-08-15 16:50:05.520984,1.0921,0
ECZ23,2023-08-15 16:50:05.520984,1.09695,22
GCZ23,2023-08-15 16:50:05.520984,1933.1,0
GCG24,2023-08-15 16:50:05.520984,1952.6,29
USU23,2023-08-15 16:50:05.520984,120.15625,0
USZ23,2023-08-15 16:50:05.520984,120.3125,5
BTCQ23,2023-08-15 16:50:05.520984,29225,163
BTCU23,2023-08-15 16:50:05.520984,29495,0
NQU23,2023-08-15 16:50:05.520984,15122.5,0
NQZ23,2023-08-15 16:50:05.520984,15311.5,16
